Date,AAPL,MSFT,NVDA,AMZN,META,GOOGL
2021-01-04,125.85670471191406,208.40652465820312,13.076017379760742,159.3314971923828,266.8459777832031,85.59901428222656
2021-01-05,127.41273498535156,208.60757446289062,13.366436004638672,160.92550659179688,268.860107421875,86.28932189941406
2021-01-06,123.12383270263672,203.1985321044922,12.578446388244629,156.91900634765625,261.259765625,85.43785858154297
2021-01-07,127.3252182006836,208.98097229003906,13.30585765838623,158.10800170898438,266.6474914550781,87.98976135253906
2021-01-08,128.4242401123047,210.25424194335938,13.238800048828125,159.13499450683594,265.48663330078125,89.1546401977539
2021-01-11,125.43850708007812,208.21510314941406,13.582565307617188,155.7104949951172,254.8401336669922,87.09465789794922
2021-01-12,125.26344299316406,205.7642364501953,13.446206092834473,156.04150390625,249.1349334716797,86.15938568115234
2021-01-13,127.29608917236328,207.11412048339844,13.493074417114258,158.29449462890625,249.68063354492188,86.64636993408203
2021-01-14,125.37041473388672,203.93569946289062,13.162522315979004,156.37350463867188,243.7273712158203,85.8365478515625
2021-01-15,123.64903259277344,203.5814666748047,12.82274341583252,155.21249389648438,249.40281677246094,85.67292022705078
2021-01-19,124.32008361816406,207.20980834960938,12.988020896911621,156.03799438476562,259.06695556640625,88.49211120605469
2021-01-20,128.40472412109375,214.7729034423828,13.327548027038574,163.16900634765625,265.39727783203125,93.2329330444336
2021-01-21,133.11183166503906,215.37606811523438,13.827863693237305,165.34950256347656,270.74530029296875,93.43525695800781
2021-01-22,135.25146484375,216.31427001953125,13.67330551147461,164.6114959716797,272.3626403808594,93.85231018066406
2021-01-25,138.9957275390625,219.74156188964844,13.614225387573242,164.6999969482422,275.8453063964844,93.93760681152344
2021-01-26,139.2291717529297,222.42222595214844,13.396851539611816,166.30650329589844,279.8538513183594,94.61549377441406
2021-01-27,138.1593475341797,222.96788024902344,12.880827903747559,161.62899780273438,270.0210266113281,90.20148468017578
2021-01-28,133.3258056640625,228.7407684326172,13.01369571685791,161.88099670410156,262.9366149902344,91.90043640136719
2021-01-29,128.33670043945312,222.0679473876953,12.952622413635254,160.30999755859375,256.31854248046875,90.6190414428711
2021-02-01,130.45681762695312,229.43003845214844,13.199164390563965,167.1439971923828,259.9698791503906,93.87760925292969
2021-02-02,131.28347778320312,229.29600524902344,13.518001556396484,169.0,265.00042724609375,95.16943359375
2021-02-03,130.2623291015625,232.63719177246094,13.491827011108398,165.62649536132812,264.5736999511719,102.10014343261719
2021-02-04,133.61758422851562,231.68942260742188,13.625192642211914,166.5500030517578,264.4150085449219,101.83979034423828
2021-02-05,133.20362854003906,231.87132263183594,13.552152633666992,167.6074981689453,266.012451171875,103.5853500366211
2021-02-08,133.34976196289062,232.1297607421875,14.397479057312012,166.14700317382812,264.50433349609375,103.37163543701172
2021-02-09,132.47312927246094,233.3743896484375,14.222482681274414,165.25,267.3519592285156,102.91888427734375
2021-02-10,131.86924743652344,232.46482849121094,14.72204875946045,164.32899475097656,269.75311279296875,103.46884155273438
2021-02-11,131.6160430908203,234.06365966796875,15.207157135009766,163.10650634765625,268.28466796875,103.58140563964844
2021-02-12,131.8498077392578,234.5423126220703,14.918489456176758,163.885498046875,268.393798828125,103.89283752441406
2021-02-16,129.72645568847656,233.3073272705078,15.286433219909668,163.44749450683594,271.8367614746094,104.66989135742188
2021-02-17,127.43756866455078,234.3244171142578,14.863395690917969,165.4320068359375,271.4399108886719,105.06265258789062
2021-02-18,126.33695220947266,233.9309844970703,14.786615371704102,166.4114990234375,267.2924499511719,104.42741394042969
2021-02-19,126.49281311035156,231.22509765625,14.883835792541504,162.4949951171875,259.5234069824219,103.5843734741211
2021-02-22,122.72344970703125,225.02630615234375,14.314714431762695,159.03700256347656,258.3029479980469,101.87104797363281
2021-02-23,122.58708953857422,223.8364715576172,14.101579666137695,159.72500610351562,263.7899169921875,102.16162872314453
2021-02-24,122.09032440185547,225.06472778320312,14.457557678222656,157.97650146484375,262.251953125,103.33642578125
2021-02-25,117.84371948242188,219.72955322265625,13.269461631774902,152.85800170898438,252.70687866210938,99.97123718261719
2021-02-26,118.10671997070312,222.98248291015625,13.675301551818848,154.64649963378906,255.6140594482422,100.26680755615234
2021-03-01,124.4668960571289,227.35804748535156,13.8021879196167,157.3070068359375,262.8472900390625,102.63472747802734
2021-03-02,121.8663101196289,224.4122314453125,13.367932319641113,154.72650146484375,256.9833068847656,102.37785339355469
2021-03-03,118.8858871459961,218.35739135742188,12.768152236938477,150.25,253.42129516601562,99.74610137939453
2021-03-04,117.0060806274414,217.56094360351562,12.334892272949219,148.8784942626953,255.6339569091797,100.86288452148438
2021-03-05,118.26253509521484,222.23399353027344,12.425884246826172,150.0229949951172,262.2221984863281,103.99398803710938
2021-03-08,113.33411407470703,218.19424438476562,11.560115814208984,147.59750366210938,253.3220672607422,99.55220794677734
2021-03-09,117.94111633300781,224.32583618164062,12.488773345947266,153.1425018310547,263.67083740234375,101.18173217773438
2021-03-10,116.8599853515625,223.0208282470703,12.436904907226562,152.8820037841797,262.83740234375,100.97494506835938
2021-03-11,118.78849029541016,227.5403594970703,12.960833549499512,155.67950439453125,271.74749755859375,104.16606903076172
2021-03-12,117.8826675415039,226.2162322998047,12.823678016662598,154.47450256347656,266.3101501464844,101.65978240966797
2021-03-15,120.76570892333984,225.31417846679688,13.158087730407715,154.08399963378906,271.6184387207031,101.87996673583984
2021-03-16,122.30462646484375,228.096923828125,13.257834434509277,154.59300231933594,277.10540771484375,103.34040069580078
2021-03-17,121.51570129394531,227.45401000976562,13.307709693908691,156.7864990234375,281.798583984375,103.2575912475586
2021-03-18,117.39568328857422,221.3896026611328,12.69051456451416,151.39950561523438,276.4505615234375,100.23854064941406
2021-03-19,116.86973571777344,221.03457641601562,12.813454627990723,153.7480010986328,287.8510437011719,100.5172348022461
2021-03-22,120.18132019042969,226.4464874267578,13.153096199035645,155.5435028076172,291.2543640136719,100.70220184326172
2021-03-23,119.35342407226562,227.97218322753906,13.037890434265137,156.875,288.3670349121094,101.2298355102539
2021-03-24,116.96710968017578,225.93789672851562,12.611213684082031,154.35350036621094,279.9432067871094,100.79344940185547
2021-03-25,117.45410919189453,222.94407653808594,12.50373363494873,152.31300354003906,276.56964111328125,100.78997039794922
2021-03-26,118.05799865722656,226.91664123535156,12.806970596313477,152.60150146484375,280.81622314453125,100.40663146972656
2021-03-29,118.23332214355469,225.72679138183594,12.915695190429688,153.7864990234375,288.5555419921875,101.45100402832031
2021-03-30,116.78207397460938,222.47390747070312,12.839388847351074,152.76449584960938,285.757568359375,101.48473358154297
2021-03-31,118.97354888916016,226.2353515625,13.314692497253418,154.70399475097656,292.2367248535156,102.28065490722656
2021-04-01,119.80145263671875,232.54922485351562,13.77702522277832,158.0500030517578,296.3345031738281,105.61609649658203
2021-04-05,122.62603759765625,238.99752807617188,13.952333450317383,161.3365020751953,306.5047302246094,110.03852844238281
2021-04-06,122.92797088623047,237.83645629882812,13.826650619506836,161.1909942626953,303.8753967285156,109.55751037597656
2021-04-07,124.57403564453125,239.79391479492188,14.107940673828125,163.96949768066406,310.6521911621094,111.03380584716797
2021-04-08,126.97007751464844,243.00845336914062,14.281006813049316,164.96499633789062,310.58270263671875,111.59913635253906
2021-04-09,129.54144287109375,245.50335693359375,14.363797187805176,168.61000061035156,310.02703857421875,112.60283660888672
2021-04-12,127.82717895507812,245.56092834472656,15.17076301574707,168.96949768066406,309.1142578125,111.3110122680664
2021-04-13,130.93423461914062,248.03656005859375,15.640080451965332,170.0,307.3481140136719,111.79749298095703
2021-04-14,128.5966033935547,245.2538299560547,15.238591194152832,166.64999389648438,300.462158203125,111.1766357421875
2021-04-15,131.00241088867188,249.0056915283203,16.0966796875,168.95449829101562,305.4232177734375,113.32586669921875
2021-04-16,130.6712646484375,250.19558715820312,15.872495651245117,169.9720001220703,303.7959899902344,113.20189666748047
2021-04-19,131.33355712890625,248.27642822265625,15.323127746582031,168.60049438476562,299.8866271972656,113.54951477050781
2021-04-20,129.64857482910156,247.81585693359375,15.133109092712402,166.7344970703125,300.29345703125,113.01641845703125
2021-04-21,130.0284423828125,250.0420379638672,15.321882247924805,168.1009979248047,299.1226501464844,112.98369598388672
2021-04-22,128.50897216796875,246.76995849609375,14.81291675567627,165.45199584960938,294.211181640625,111.70277404785156
2021-04-23,130.8271026611328,250.58901977539062,15.226872444152832,167.04400634765625,298.7852478027344,114.05384063720703
2021-04-26,131.21669006347656,250.9727783203125,15.439087867736816,170.4499969482422,300.680419921875,114.54975128173828
2021-04-27,130.89524841308594,251.37582397460938,15.34307861328125,170.8715057373047,301.20623779296875,113.6100082397461
2021-04-28,130.10633850097656,244.26548767089844,15.238341331481934,172.9250030517578,304.70880126953125,116.98511505126953
2021-04-29,130.00889587402344,242.2983856201172,15.286222457885742,173.5655059814453,326.94427490234375,118.65729522705078
2021-04-30,128.04150390625,241.9817352294922,14.97176456451416,173.37100219726562,322.5487976074219,116.71038818359375
2021-05-03,129.09332275390625,241.67466735839844,14.799449920654297,169.32449340820312,320.0682373046875,116.19364929199219
2021-05-04,124.52533721923828,237.7692413330078,14.315169334411621,165.593505859375,315.8810729980469,114.3960189819336
2021-05-05,124.76882934570312,236.5026092529297,14.422147750854492,163.52699279785156,312.567138671875,114.7897720336914
2021-05-06,126.36619567871094,239.6307830810547,14.48648738861084,165.31849670410156,317.5281982421875,115.90951538085938
2021-05-07,127.03938293457031,242.2504425048828,14.775010108947754,164.58050537109375,316.5954895019531,116.63253021240234
2021-05-10,123.76119995117188,237.18394470214844,14.229883193969727,159.52450561523438,303.587646484375,113.64820098876953
2021-05-11,122.84408569335938,236.27235412597656,14.270283699035645,161.19549560546875,304.14324951171875,112.57257843017578
2021-05-12,119.7805404663086,229.33477783203125,13.723910331726074,157.5970001220703,300.1942443847656,109.11071014404297
2021-05-13,121.9269790649414,233.20179748535156,13.630892753601074,158.07350158691406,302.8831787109375,110.53839874267578
2021-05-14,124.34658813476562,238.1147003173828,14.207191467285156,161.14500427246094,313.47998046875,112.98516845703125
2021-05-17,123.19530487060547,235.26483154296875,14.129884719848633,163.51950073242188,313.0036926269531,113.50785064697266
2021-05-18,121.80989074707031,233.24978637695312,13.980511665344238,161.61399841308594,307.5465393066406,112.19619750976562
2021-05-19,121.65379333496094,233.82679748535156,14.030386924743652,161.58999633789062,311.1483154296875,112.64401245117188
2021-05-20,124.21001434326172,237.05838012695312,14.575760841369629,162.38400268554688,316.129150390625,114.40196228027344
2021-05-21,122.37578582763672,235.79844665527344,14.954059600830078,160.1540069580078,313.7677001953125,113.76622009277344
2021-05-24,124.00511169433594,241.1940155029297,15.57275104522705,162.24949645996094,322.102294921875,117.08429718017578
2021-05-25,123.80998229980469,242.09811401367188,15.60841178894043,162.95249938964844,325.23773193359375,117.175048828125
2021-05-26,123.76119995117188,241.87689208984375,15.660531044006348,163.25799560546875,325.10870361328125,118.0399169921875
2021-05-27,122.22941589355469,239.78021240234375,15.449061393737793,161.5054931640625,330.15911865234375,117.1656265258789
2021-05-28,121.57573699951172,240.1360321044922,16.20366096496582,161.15350341796875,326.1703796386719,116.87650299072266
2021-06-01,121.25376892089844,237.94322204589844,16.223609924316406,160.9324951171875,326.5672607421875,118.08303833007812
2021-06-02,122.0147933959961,237.84706115722656,16.736066818237305,161.69949340820312,326.5871276855469,117.55789184570312
2021-06-03,120.53179931640625,236.31784057617188,16.927087783813477,159.35049438476562,323.5013122558594,116.41681671142578
2021-06-04,122.8245849609375,241.20364379882812,17.534055709838867,160.31100463867188,327.77777099609375,118.69746398925781
2021-06-07,122.8343276977539,244.10821533203125,17.574703216552734,159.90049743652344,333.9592590332031,119.1303939819336
2021-06-08,123.65386962890625,242.91558837890625,17.413116455078125,163.20550537109375,331.0818176269531,118.93896484375
2021-06-09,124.03438568115234,243.89662170410156,17.31857681274414,164.0574951171875,327.6785583496094,119.41007232666016
2021-06-10,123.03922271728516,247.4070281982422,17.385175704956055,167.4824981689453,329.871337890625,120.75843048095703
2021-06-11,124.2490234375,248.03224182128906,17.784513473510742,167.3415069580078,328.6806640625,120.51395416259766
2021-06-14,127.30281066894531,249.955810546875,17.977567672729492,169.19349670410156,334.14776611328125,121.4417953491211
2021-06-15,126.4832763671875,248.4842529296875,17.747846603393555,169.156494140625,334.1279296875,120.42420959472656
2021-06-16,126.98084259033203,247.5417938232422,17.769540786743164,170.7624969482422,328.5021057128906,119.78250122070312
2021-06-17,128.58090209960938,250.92718505859375,18.614608764648438,174.46200561523438,333.8897705078125,120.74553680419922
2021-06-18,127.2833023071289,249.51339721679688,18.59615135192871,174.34500122070312,327.0931091308594,119.12641906738281
2021-06-21,129.07850646972656,252.5909881591797,18.385133743286133,172.697998046875,329.7026672363281,120.81397247314453
2021-06-22,130.7175750732422,255.36097717285156,18.843578338623047,175.27200317382812,336.39019775390625,121.32772064208984
2021-06-23,130.44439697265625,255.130126953125,19.013694763183594,175.1909942626953,337.93804931640625,121.12589263916016
2021-06-24,130.16146850585938,256.495849609375,19.161605834960938,172.45399475097656,340.50787353515625,121.495849609375
2021-06-25,129.86878967285156,254.88967895507812,18.987503051757812,170.072998046875,338.71197509765625,121.50426483154297
2021-06-28,131.4980926513672,258.4482116699219,19.939321517944336,172.1945037841797,352.870849609375,121.53153991699219
2021-06-29,133.01034545898438,261.0257873535156,19.980981826782227,172.40699768066406,349.1500549316406,121.27021789550781
2021-06-30,133.62503051757812,260.5449523925781,19.956785202026367,172.00799560546875,345.00262451171875,121.08869934082031
2021-07-01,133.92747497558594,261.21820068359375,20.165803909301758,171.64849853515625,351.630615234375,121.4407958984375
2021-07-02,136.552001953125,267.03692626953125,20.440176010131836,175.5489959716797,351.938232421875,124.23072814941406
2021-07-06,138.56178283691406,267.0465393066406,20.65119171142578,183.78700256347656,350.03314208984375,125.15559387207031
2021-07-07,141.04974365234375,269.2297668457031,20.32518768310547,184.82899475097656,347.7608947753906,125.43726348876953
2021-07-08,139.75210571289062,266.8157043457031,19.857261657714844,186.57049560546875,342.9586181640625,124.01898193359375
2021-07-09,141.57656860351562,267.3157958984375,20.004419326782227,185.9669952392578,347.6914978027344,124.4896011352539
2021-07-12,140.98143005371094,266.7194519042969,20.46561622619629,185.92750549316406,350.4101257324219,125.93465423583984
2021-07-13,142.09364318847656,270.2396240234375,20.203720092773438,183.8679962158203,349.3485107421875,126.29764556884766
2021-07-14,145.5181884765625,271.7111511230469,19.79615020751953,184.08399963378906,344.9232177734375,127.18580627441406
2021-07-15,144.8645477294922,270.28765869140625,18.92290496826172,181.55999755859375,341.7778625488281,125.96391296386719
2021-07-16,142.82540893554688,270.01849365234375,18.11949348449707,178.68150329589844,338.50360107421875,125.92919158935547
2021-07-19,138.98138427734375,266.4212646484375,18.736825942993164,177.47950744628906,334.32635498046875,123.55680084228516
2021-07-20,142.59124755859375,268.64312744140625,18.569459915161133,178.6595001220703,338.99969482421875,125.1749267578125
2021-07-21,141.85946655273438,270.6435852050781,19.36564064025879,179.25999450683594,343.53411865234375,126.50345611572266
2021-07-22,143.22540283203125,275.2023620605469,19.549213409423828,181.90150451660156,348.4555358886719,127.36878967285156
2021-07-23,144.94256591796875,278.5975036621094,19.513296127319336,182.83200073242188,366.91064453125,131.92466735839844
2021-07-26,145.36212158203125,278.0010681152344,19.249906539916992,184.99099731445312,369.5599060058594,132.936279296875
2021-07-27,143.19618225097656,275.5870666503906,19.164100646972656,181.3195037841797,364.94610595703125,130.81878662109375
2021-07-28,141.44973754882812,275.279296875,19.45842742919922,181.51600646972656,370.37347412109375,134.9783935546875
2021-07-29,142.09364318847656,275.5486755371094,19.617061614990234,179.99600219726562,355.52996826171875,134.66448974609375
2021-07-30,142.3083038330078,274.0194091796875,19.454435348510742,166.37950134277344,353.5257263183594,133.62210083007812
2021-08-02,141.97662353515625,273.9328308105469,19.704864501953125,166.57400512695312,349.2095947265625,133.7490692138672
2021-08-03,143.7717742919922,276.1449279785156,19.76971435546875,168.31199645996094,348.50506591796875,134.51821899414062
2021-08-04,143.37176513671875,275.55828857421875,20.227663040161133,167.73599243164062,356.1253967285156,134.0178680419922
2021-08-05,143.47906494140625,278.453125,20.589832305908203,168.79949951171875,360.14373779296875,135.13461303710938
2021-08-06,142.79507446289062,278.3954772949219,20.3194522857666,167.2469940185547,360.6795654296875,134.62582397460938
2021-08-09,142.7462615966797,277.30865478515625,20.248620986938477,167.093505859375,358.7942810058594,135.79067993164062
2021-08-10,142.26747131347656,275.4908752441406,19.890438079833984,166.03399658203125,358.318115234375,135.68556213378906
2021-08-11,142.52151489257812,275.9814453125,19.653972625732422,164.60549926757812,357.1572265625,135.16188049316406
2021-08-12,145.48220825195312,278.73211669921875,19.85950469970703,165.1750030517578,359.8262634277344,136.0694122314453
2021-08-13,145.6873321533203,281.6559753417969,20.141860961914062,164.69850158691406,360.3521728515625,136.5985107421875
2021-08-16,147.6611328125,283.3389587402344,19.90440559387207,164.94949340820312,363.705810546875,137.17576599121094
2021-08-17,146.75244140625,281.8771057128906,19.413528442382812,162.09800720214844,355.6589660644531,135.54122924804688
2021-08-18,143.01010131835938,280.1522521972656,18.99648666381836,160.06100463867188,352.682373046875,134.3386993408203
2021-08-19,143.34231567382812,285.9725646972656,19.752750396728516,159.3874969482422,352.3548583984375,134.56777954101562
2021-08-20,144.79818725585938,293.28631591796875,20.768423080444336,159.99749755859375,356.5718688964844,136.302978515625
2021-08-23,146.28341674804688,293.56573486328125,21.90781593322754,163.2935028076172,360.5208435058594,138.8935546875
2021-08-24,146.1954803466797,291.6096496582031,21.743192672729492,165.28900146484375,362.6640319824219,140.10354614257812
2021-08-25,144.9642791748047,291.0218200683594,22.162227630615234,164.95899963378906,365.5216064453125,140.9143524169922
2021-08-26,144.1630401611328,288.20806884765625,22.017560958862305,165.8000030517578,361.5428161621094,140.2810821533203
2021-08-27,145.19879150390625,288.81512451171875,22.58426856994629,167.48150634765625,369.728515625,142.8235626220703
2021-08-30,149.61534118652344,292.5442810058594,22.636146545410156,171.07850646972656,377.6960144042969,143.4052734375
2021-08-31,148.35488891601562,290.89654541015625,22.33778190612793,173.5395050048828,376.426025390625,143.51136779785156
2021-09-01,149.01930236816406,290.848388671875,22.393657684326172,173.9499969482422,379.0752258300781,144.025146484375
2021-09-02,150.13316345214844,290.1930847167969,22.3487548828125,173.156005859375,372.35797119140625,142.11245727539062
