,Average Daily Return,Daily Volatility,Total Return
AAPL,0.0007709474031202052,0.017558195270379846,1.1677407465557406
MSFT,0.0008074561459590531,0.016203087387888646,1.3337556459046738
NVDA,0.002663272122371462,0.03291076908809964,13.341510931429916
AMZN,0.0005460583030534755,0.022122412571624117,0.45941011587013114
META,0.0011078066883210044,0.02735740852903161,1.4934994920522153
GOOGL,0.0012290631273408116,0.019627357806297353,2.6639352050164917
